,0
0,41.5
1,28.75
2,33.25
3,31.25
4,33.75
5,9.75
6,22.25
7,31.5
8,37.75
9,2.75
10,5.25
11,19.5
12,0.0
13,35.5
14,4.25
15,38.0
16,18.75
17,25.25
18,45.75
19,8.75
20,43.0
21,22.25
22,22.0
23,2.75
24,29.0
25,8.0
26,25.25
27,1.5
28,28.75
29,30.25
30,44.75
31,14.5
32,2.5
33,33.0
34,37.5
35,33.25
36,8.5
37,23.25
38,19.0
39,3.0
40,28.0
41,42.0
42,7.75
43,17.0
44,57.25
45,0.75
46,35.75
47,19.5
48,27.75
49,29.75
50,16.5
51,27.5
52,19.0
53,42.0
54,23.0
55,3.75
56,7.0
57,12.0
58,8.5
59,8.25
60,20.75
61,28.5
62,9.75
63,0.0
64,73.75
65,26.25
66,11.75
67,34.25
68,42.25
69,8.5
70,15.25
71,8.5
72,13.0
73,23.0
74,48.5
75,21.5
76,7.75
77,29.25
78,8.5
79,23.0
80,4.0
81,46.5
82,6.0
83,38.25
84,0.0
85,63.0
86,20.25
87,8.0
88,45.0
89,19.5
90,9.75
91,0.0
92,6.5
93,1.25
94,15.25
95,25.75
96,39.5
97,14.0
98,41.25
99,25.25
100,24.0
101,13.75
102,63.75
103,11.75
104,0.0
105,21.25
106,2.25
107,55.0
108,2.0
109,40.5
110,23.5
111,28.75
112,14.75
113,73.25
114,3.25
115,43.25
116,35.0
117,30.75
118,80.75
119,50.5
120,10.5
121,19.0
122,28.0
123,24.5
124,22.0
125,20.0
126,24.25
127,42.5
128,41.5
129,50.5
130,21.75
131,35.25
132,40.0
133,23.5
134,17.5
135,22.75
136,10.5
137,36.75
138,9.75
139,8.5
140,2.0
141,42.0
142,20.75
143,47.5
144,24.25
145,13.0
146,29.5
147,12.0
148,42.75
149,7.75
150,31.25
151,4.0
152,34.75
153,33.25
154,37.75
155,5.25
156,21.5
157,15.0
158,42.5
159,27.5
160,25.0
161,39.0
162,8.75
163,52.5
164,34.0
165,52.25
166,21.5
167,33.75
168,16.0
169,6.75
170,12.0
171,8.0
172,0.0
173,40.5
174,24.0
175,49.75
176,0.75
177,15.75
178,21.5
179,21.5
180,17.25
181,31.5
182,34.0
183,34.75
184,38.0
185,6.25
186,34.5
187,4.75
188,34.5
189,14.75
190,16.0
191,10.25
192,11.25
193,16.25
194,39.5
195,28.0
196,10.75
197,14.75
198,24.5
199,13.0
200,12.0
201,26.5
202,19.5
203,1.0
204,8.25
205,22.0
206,26.5
207,20.25
208,14.0
209,35.5
210,25.75
211,13.75
212,44.25
213,11.75
214,22.5
215,34.25
216,10.75
217,5.0
218,57.5
219,20.75
220,34.5
221,0.0
222,6.0
223,12.25
224,12.0
225,39.25
226,15.75
227,29.0
228,48.75
229,8.5
230,18.5
231,15.25
232,21.0
233,17.75
234,18.25
235,9.5
236,20.0
237,28.0
238,32.75
239,8.5
240,36.25
241,22.25
242,28.25
243,69.75
244,17.0
245,41.0
246,32.0
247,34.75
248,0.0
249,0.75
250,38.75
251,9.75
252,31.75
253,14.25
254,38.75
255,9.75
256,19.25
257,16.5
258,5.25
259,11.75
260,33.5
261,35.75
262,20.0
263,36.25
264,9.5
265,12.5
266,14.25
267,53.5
268,24.75
269,28.0
270,26.0
271,7.5
272,25.0
273,29.5
274,60.75
275,13.25
276,12.25
277,26.5
278,56.75
279,26.5
280,1.25
281,8.5
282,50.75
283,12.25
284,19.25
285,36.0
286,2.0
287,62.0
288,25.5
289,41.0
290,54.75
291,19.25
292,15.25
293,15.5
294,11.0
295,8.5
296,18.0
297,38.5
298,12.25
299,33.25
300,5.5
301,3.5
302,21.25
303,42.5
304,56.5
305,12.75
306,30.5
307,15.0
308,15.5
309,18.5
310,69.75
311,39.75
312,61.25
313,17.75
314,12.25
315,19.25
316,10.0
317,13.75
318,11.5
319,66.25
320,46.75
321,21.25
322,29.25
323,10.75
324,50.5
325,15.5
326,15.75
327,8.0
328,17.0
329,41.25
330,23.75
331,13.5
332,21.0
333,7.75
334,28.25
335,0.75
336,56.0
337,7.5
338,5.25
339,2.75
340,48.0
341,13.0
342,17.75
343,9.75
344,8.0
345,5.0
346,2.75
347,2.75
348,19.0
349,10.5
350,5.75
351,12.25
352,19.5
353,17.0
354,9.75
355,17.25
356,8.75
357,26.75
358,18.5
359,55.0
360,11.5
361,12.5
362,0.0
363,15.5
364,24.75
365,10.0
366,26.25
367,24.0
368,16.75
369,8.25
370,25.75
371,15.5
372,23.25
373,34.0
374,23.0
375,19.5
376,4.25
377,14.75
378,16.25
379,7.25
380,36.25
381,12.0
382,27.0
383,16.75
384,11.75
385,3.5
386,6.75
387,0.0
388,2.25
389,30.75
390,64.0
391,19.25
392,0.0
393,58.0
394,6.25
395,8.75
396,16.5
397,12.5
398,10.75
399,11.75
400,22.75
401,0.0
402,23.0
403,23.5
404,16.25
405,0.0
406,44.25
407,17.75
408,18.0
409,10.5
410,49.75
411,20.0
412,51.25
413,0.0
414,54.0
415,14.75
416,51.75
417,31.0
418,14.75
419,27.5
420,18.25
421,70.75
422,7.75
423,33.5
424,45.75
425,6.25
426,62.75
427,33.25
428,19.5
429,15.5
430,28.0
431,38.25
432,22.5
433,37.25
434,31.25
435,14.5
436,12.5
437,19.75
438,23.25
439,29.5
440,34.0
441,41.5
442,5.75
443,22.5
444,10.5
445,6.25
446,20.75
447,28.75
448,18.75
449,35.75
450,34.25
451,16.5
452,0.0
453,11.75
454,16.5
455,36.25
456,21.0
457,15.75
458,3.5
459,29.75
460,25.25
461,18.0
462,6.5
463,21.0
464,19.25
465,21.75
466,21.5
467,26.75
468,7.5
469,1.5
470,19.0
471,24.25
472,0.75
473,5.75
474,1.25
475,16.25
476,34.5
477,17.75
478,41.25
479,42.5
480,27.5
481,27.25
482,30.0
483,27.25
484,61.0
485,-0.5
486,4.5
487,37.0
488,1.5
489,0.0
490,31.0
491,10.0
492,8.75
493,16.25
494,11.25
495,2.0
496,18.5
497,0.0
498,45.5
499,17.5
500,26.0
501,7.25
502,55.75
503,26.75
504,11.5
505,33.5
506,62.5
507,41.5
508,23.25
509,43.25
510,45.25
511,25.75
512,12.75
513,20.0
514,10.5
515,13.25
516,16.0
517,27.5
518,12.25
519,14.25
520,38.25
521,0.0
522,9.0
523,11.25
524,45.25
525,45.75
526,30.25
527,51.75
528,10.25
529,65.5
530,4.75
531,36.5
532,15.0
533,2.25
534,26.5
535,14.25
536,12.5
537,62.75
538,0.0
539,8.25
540,13.0
541,5.25
542,1.25
543,18.25
544,17.75
545,22.0
546,45.25
547,26.5
548,31.25
549,0.0
550,44.25
551,16.5
552,4.5
553,32.25
554,35.75
555,59.5
556,0.0
557,9.75
558,9.75
559,22.25
560,39.0
561,55.25
562,32.25
563,15.75
564,25.75
565,42.25
566,21.0
567,0.75
568,36.5
569,34.5
570,42.5
571,22.5
572,39.75
573,21.75
574,8.75
575,7.25
576,33.25
577,13.75
578,11.0
579,1.5
580,21.25
581,20.5
582,43.0
583,18.5
584,2.75
585,25.25
586,17.5
587,24.5
588,56.75
589,24.5
590,20.75
591,18.25
592,6.75
593,28.25
594,15.0
595,7.75
596,62.75
597,24.0
598,14.0
599,15.25
600,46.75
601,19.75
602,10.25
603,16.75
604,26.0
605,13.75
606,34.75
607,35.5
608,36.25
609,19.25
610,20.25
611,6.75
612,36.0
613,55.25
614,8.0
615,33.75
616,30.5
617,3.25
618,9.25
619,8.0
620,24.25
621,21.0
622,10.0
623,11.5
624,28.25
625,19.75
626,13.25
627,30.75
628,18.75
629,5.5
630,17.75
631,8.5
632,22.25
633,24.5
634,13.75
635,24.25
636,36.75
637,11.75
638,21.75
639,12.75
640,1.25
641,23.5
642,26.25
643,4.25
644,41.75
645,23.5
646,53.25
647,58.25
648,45.25
649,25.75
650,10.25
651,23.75
652,56.75
653,4.75
654,11.0
655,31.25
656,14.75
657,17.5
658,28.75
659,39.25
660,15.25
661,14.5
662,20.25
663,28.75
664,11.25
665,3.0
666,30.25
667,32.0
668,22.5
669,34.0
670,42.5
671,9.0
672,78.25
673,8.0
674,7.75
675,7.75
676,24.0
677,14.75
678,19.75
679,29.25
680,7.25
681,1.5
682,43.25
683,40.0
684,5.25
685,22.75
686,22.25
687,44.0
688,32.5
689,32.25
690,16.75
691,14.5
692,27.0
693,35.25
694,33.75
695,29.75
696,25.25
697,45.25
698,43.5
699,40.0
700,30.0
701,17.75
702,12.0
703,-0.5
704,17.0
705,36.25
706,22.25
707,35.25
708,1.5
709,49.25
710,24.0
711,33.0
712,4.25
713,34.5
714,11.25
715,21.25
716,13.25
717,17.25
718,55.75
719,32.5
720,13.0
721,9.75
722,39.75
723,43.75
724,0.0
725,49.0
726,6.25
727,23.25
728,35.75
729,16.0
730,22.25
731,4.25
732,13.25
733,20.25
734,3.25
735,21.25
736,15.5
737,0.0
738,15.0
739,25.5
740,3.5
741,43.0
742,17.75
743,24.5
744,13.25
745,24.25
746,15.0
747,18.25
748,13.25
749,7.0
750,12.0
751,3.5
752,23.5
753,4.0
754,3.25
755,20.0
756,22.0
757,19.25
758,15.25
759,15.75
760,27.75
761,6.5
762,26.75
763,33.0
764,41.75
765,18.0
766,5.5
767,19.0
768,46.75
769,12.25
770,26.25
771,0.0
772,21.75
773,11.75
774,14.75
775,21.25
776,24.5
777,18.0
778,37.0
779,22.75
780,24.75
781,27.5
782,8.75
783,15.0
784,43.75
785,20.0
786,6.0
787,35.25
788,12.25
789,62.5
790,14.0
791,9.75
792,0.0
793,41.25
794,3.25
795,0.0
796,8.0
797,35.25
798,23.0
799,61.25
800,54.25
801,41.25
802,25.5
803,1.0
804,18.25
805,23.75
806,21.25
807,14.5
808,44.75
809,34.25
810,39.75
811,57.75
812,32.5
813,52.5
814,4.5
815,16.5
816,18.5
817,32.0
818,26.25
819,53.0
820,22.75
821,37.5
822,6.5
823,34.25
824,9.25
825,12.25
826,8.5
827,11.0
828,12.25
829,34.25
830,20.5
831,25.5
832,28.0
833,23.5
834,29.5
835,14.75
836,20.0
837,23.0
838,16.0
839,19.0
840,20.0
841,1.5
842,10.25
843,20.5
844,14.5
845,13.0
846,61.25
847,15.5
848,11.75
849,11.75
850,36.0
851,44.75
852,27.25
853,19.5
854,11.75
855,1.25
856,19.0
857,18.75
858,10.5
859,32.5
860,22.5
861,2.0
862,19.0
863,19.5
864,18.0
865,35.5
866,7.75
867,44.0
868,6.0
869,22.5
870,3.0
871,40.75
872,12.5
873,15.25
874,22.25
875,67.5
876,56.5
877,19.0
878,41.25
879,13.5
880,26.0
881,33.0
882,19.0
883,11.0
884,19.0
885,14.5
886,14.0
887,16.0
888,8.25
889,9.5
890,15.5
